id	sample1_sample2	sample1_sample3	sample2_sample3	0	1	2	3	4
chr10_100227667_100227709	0.19892611694951864	0.17512680621292145	0.02849152161736604	0.9543589743589744	0.045641025641025644	0	0	0
chr10_100992192_100992223	0.14617785097801772	0.19261120760552786	0.1715471175232086	0.8390612202268067	0.12982019272525383	0.011494252873563216	0.013877207737594613	0.0057471264367816065
chr10_100992648_100992664	0.0629162031725425	0.18136290767932994	0.18209452527249048	0.8326008876574565	0.10991303009312707	0.03152081890248595	0.011111111111111112	0.014854152235819287
chr10_101089533_101089567	0.11152789703132657	0.09485035938665515	0.19485869022892166	0.9217893217893218	0.05437229437229437	0	0	0.02383838383838384
chr10_101089646_101089665	0.1425504454887885	0.17737532301580594	0.09621829384230231	0.9351933377357107	0.052793675251302366	0.006060606060606061	0.0059523809523809494	0
chr10_101089669_101089679	0.0977300737562561	0.12542386830808602	0.08635707402334289	0.9639145232765316	0.029796168547367777	0.006289308176100627	0	0
chr10_101089809_101089826	0.12874035013229987	0.08800773245238991	0.09946350796190924	0.9606575114440282	0.0215230961298377	0	0.007449022055763627	0.01037037037037037
chr10_101090143_101090162	0.1622600126601609	0.20144751379760564	0.15425306495881233	0.8806650271755978	0.07276332316114086	0.028234148716076424	0.0040160642570281095	0.01432143669015685
chr10_101090187_101090207	0.11777554863941946	0.1134480157672332	0.0950556537260201	0.8237713548658823	0.09466556108347153	0.030041590986864614	0.021289057358709094	0.030232435705072513
chr10_101190142_101190229	0.14103454675928914	0.05199235019127402	0.09746165575199152	0.9806387963990627	0.019361203600937228	0	0	0
chr10_101190290_101190326	0.09746165575199152	0.09746165575199152	0	0.9937106918238994	0.006289308176100627	0	0	0
chr10_101190528_101190597	0.08003755363586587	0.11592724900343501	0.08413252384579514	0.5289025821596245	0.46640258215962443	0.004694835680751173	0	0
chr10_101190777_101190817	0	0.08662079464369363	0.08662079464369363	0.9950248756218906	0.00497512437810945	0	0	0
chr10_101190865_101190891	0.07874323205055259	0	0.07874323205055259	0.9958847736625515	0.0041152263374485566	0	0	0
chr10_101280220_101280268	0.15713893646304775	0.09590658958802317	0.11779316032011428	0.9405539993775288	0.04291160908807967	0.010582010582010576	0	0.0059523809523809494
chr10_101280269_101280310	0.1157098124475326	0.18741820601011197	0.2312263848205361	0.5489182141724515	0.3968838460363884	0.03198374384815063	0.010154222018628797	0.012059973924380704
chr10_101281859_101281892	0.10175656563622834	0.09489442911338221	0.025899556698305428	0.005847953216374266	0	0	0.13851436500856662	0.8556376817750592
chr10_101291046_101291101	0.22651433229974127	0.16244660154187393	0.11911157098880193	0.9490284489835303	0.022487868386791333	0.010833248962235493	0.00280112044817927	0.014849313219263607
chr10_101291107_101291145	0.15625088916117397	0.2440801486785421	0.14415276489868273	0.5110625331213566	0.4278749337572867	0.04374227168344815	0.005555555555555553	0.011764705882352941
chr10_101295349_101295392	0.07823714546345564	0.11551577059895012	0.09025026181766786	0.9691938358921282	0.025429820021850374	0.005376344086021503	0	0
chr10_101296718_101296739	0.15902717799361638	0.05233333466365255	0.19960280287653395	0.9423202614379085	0.05172735760971055	0.0059523809523809494	0	0
chr10_101300500_101300536	0.0154104890306497	0.17761223665469883	0.1691202329567718	0.970839946849543	0.018231091401823107	0	0	0.01092896174863388
chr10_101419082_101419126	0	0.12571361560472408	0.12571361560472408	0.9895833333333334	0.005208333333333333	0.005208333333333333	0	0
chr10_101419129_101419156	0	0	0	1	0	0	0	0
chr10_101491955_101491970	0	0.08184706449108912	0.08184706449108912	0.9955555555555556	0.004444444444444444	0	0	0
chr10_101491984_101492002	0.044324828364958116	0.08191466755948197	0.09461558476490876	0.9463292110056563	0.04922634454989934	0.004444444444444444	0	0
chr10_101492003_101492014	0.023075316453093075	0.037067361048494986	0.014052055859278644	0.9661740257759476	0.033825974224052466	0	0	0
chr10_101492081_101492099	0	0	0	1	0	0	0	0
chr10_101492133_101492146	0	0	0	1	0	0	0	0
chr10_101769283_101769334	0.12014602293469452	0.12014602293469452	0	0.9904761904761905	0.009523809523809523	0	0	0
chr10_101769916_101769934	0.0859780821861544	0	0.0859780821861544	0.9950980392156863	0.004901960784313723	0	0	0
chr10_101769938_101769949	0.08354325349154712	0.07923607159808974	0.005170082217220108	0.9912037037037037	0.008796296296296293	0	0	0
chr10_101769953_101769972	0	0	0	1	0	0	0	0
chr10_101945697_101945712	0	0	0	1	0	0	0	0
chr10_101945719_101945741	0	0	0	1	0	0	0	0
chr10_102046116_102046158	0	0	0	1	0	0	0	0
chr10_102106319_102106353	0.07973828239225846	0.07973828239225846	0	0.9957805907172996	0	0	0	0.00421940928270042
chr10_102106358_102106375	0.11450013829950992	0.08078188115308108	0.08025016523890416	0.987068487068487	0.0086025086025086	0	0	0.004329004329004326
chr10_102106658_102106722	0.07805273252828505	0.10219776945412475	0.04416243654829106	0.48613501368994916	0.5103188870192706	0	0	0.00354609929078014
chr10_102107096_102107116	0.08354325349154712	0.0036941423410906515	0.08662079464369363	0.9903952459922609	0.009604754007739077	0	0	0
chr10_102107122_102107149	0	0	0	1	0	0	0	0
chr10_102107318_102107332	0.18981514627756516	0.21330974219282117	0.15617376963128463	0.48565840938722293	0.4774011299435028	0.024119947848761408	0.006410256410256409	0.006410256410256409
chr10_102107351_102107407	0.09313841508032583	0.10084606645984869	0.1424585834571342	0.980919540229885	0.012413793103448274	0	0.006666666666666667	0
chr10_102242426_102242476	0.003288001758384318	0.04638879505194419	0.04314742837728964	0.9756243756243757	0.024375624375624374	0	0	0
chr10_102242520_102242534	0	0.07973828239225846	0.07973828239225846	0.9957805907172996	0.00421940928270042	0	0	0
chr10_102279240_102279284	0.1219620310279091	0.06854586888455488	0.15439964690631974	0.42138385939156675	0.18858372074055949	0.10354171764130168	0.15390669602805643	0.13258400619851562
chr10_102289270_102289311	0	0.15201502887605745	0.15201502887605745	0.9848484848484849	0.01515151515151515	0	0	0
chr10_102295784_102295829	0	0	0	1	0	0	0	0
chr10_102440827_102440850	0.10931786607948257	0.08021795706999753	0.07772474700885805	0.8740518174749654	0.0835691107983644	0.018315972644944292	0	0.0240630990817259
chr10_102489373_102489408	0.15601565063849665	0.18862961435683145	0.15406045798080095	0.8950339071465833	0.07657103112502173	0.01950617283950617	0.004444444444444444	0.004444444444444444
chr10_102490212_102490266	0.09708040710412193	0.1919069678414678	0.12903824359941984	0.6664745959266507	0.2647205914329202	0.04981517721243748	0.01442342538232949	0.0045662100456621
chr10_102490920_102490949	0.0993677153626102	0.0993677153626102	0	0.9934640522875817	0.006535947712418301	0	0	0
chr10_102495311_102495335	0.11406618868538645	0.1654750406122701	0.16559229538520806	0.8895995390377412	0.09029098242581388	0.0163641601843849	0.0037453183520599234	0
chr10_102495388_102495402	0.1554935009559633	0.11388428105395827	0.16364956767251004	0.8974464509269263	0.07585189758364631	0.015477354187031602	0.005376344086021503	0.005847953216374266
chr10_102495406_102495443	0.06747917182820887	0.15456193292583245	0.12070469448186251	0.9094120932830609	0.07024158637061863	0.020346320346320345	0	0
chr10_102495444_102495454	0.1048057796137834	0.16074990431896757	0.07909404464823235	0.8904877948040147	0.07255379786047664	0.032263571654757475	0	0.004694835680751173
