id	0	1	2	3	4
chr10_1000256_1000305	0	0	0.011904761904761904	0.14285714285714285	0.8452380952380952
chr10_100027962_100027994	0.9803921568627451	0.0196078431372549	0	0	0
chr10_100027995_100028021	1	0	0	0	0
chr10_100028086_100028094	1	0	0	0	0
chr10_100028100_100028129	1	0	0	0	0
chr10_100028414_100028452	0.9629629629629629	0.018518518518518517	0.018518518518518517	0	0
chr10_100184940_100184957	0	0	0	0.13725490196078433	0.8627450980392157
chr10_100227667_100227709	0.94	0.06	0	0	0
chr10_100398070_100398105	0	0	0	0.14035087719298245	0.8596491228070176
chr10_100548245_100548304	0.04	0.22	0.44	0.3	0
chr10_100992192_100992223	0.8103448275862069	0.1206896551724138	0.034482758620689655	0.017241379310344827	0.017241379310344827
chr10_100992405_100992440	0.6071428571428571	0.19642857142857142	0.14285714285714285	0.03571428571428571	0.017857142857142856
chr10_100992648_100992664	0.8166666666666667	0.1	0.05	0.03333333333333333	0
chr10_100993520_100993557	0.24528301886792453	0.4339622641509434	0.2830188679245283	0.018867924528301886	0.018867924528301886
chr10_100993558_100993590	0.95	0.05	0	0	0
chr10_100994037_100994060	0.9807692307692307	0.019230769230769232	0	0	0
chr10_101089533_101089567	0.8666666666666667	0.08	0	0	0.05333333333333334
chr10_101089646_101089665	0.9090909090909091	0.07272727272727272	0.01818181818181818	0	0
chr10_101089669_101089679	0.9464285714285714	0.05357142857142857	0	0	0
chr10_101089809_101089826	0.9444444444444444	0.03333333333333333	0	0.011111111111111112	0.011111111111111112
chr10_101090143_101090162	0.8867924528301887	0.09433962264150944	0	0	0.018867924528301886
chr10_101090187_101090207	0.7962962962962963	0.1111111111111111	0.018518518518518517	0.037037037037037035	0.037037037037037035
chr10_101190142_101190229	0.9811320754716981	0.018867924528301886	0	0	0
chr10_101190290_101190326	1	0	0	0	0
chr10_101190528_101190597	0.49295774647887325	0.49295774647887325	0.014084507042253521	0	0
chr10_101190605_101190637	1	0	0	0	0
chr10_101190777_101190817	0.9850746268656716	0.014925373134328358	0	0	0
chr10_101190865_101190891	1	0	0	0	0
chr10_101280220_101280268	0.9305555555555556	0.05555555555555555	0.013888888888888888	0	0
chr10_101280269_101280310	0.4189189189189189	0.527027027027027	0.04054054054054054	0.013513513513513514	0
chr10_101281353_101281390	0	0	0	0.1320754716981132	0.8679245283018868
chr10_101281859_101281892	0	0	0	0.13559322033898305	0.864406779661017
chr10_101281981_101282010	0	0	0	0.017857142857142856	0.9821428571428571
