id	sample1_sample2	sample1_sample3	sample2_sample3	0	1	2	3	4	D1	D2	D3	D4	D5	Class
chr10_100227667_100227709	0.19892611694951864	0.17512680621292143	0.02849152161736604	0.9543589743589744	0.04564102564102564	0	0	0	0.2065395137803402	1	0.5846289702431131	0.9530208819678299	0.728732604086668	D1
chr10_100992192_100992223	0.14617785097801772	0.19261120760552783	0.1715471175232086	0.8390612202268067	0.12982019272525383	0.01149425287356321	0.01387720773759461	0.0057471264367816	0.146021950545462	0.9686685813177589	0.521633692547548	0.863221494527554	0.620654534924665	D1
chr10_100992648_100992664	0.0629162031725425	0.18136290767932992	0.18209452527249048	0.8326008876574565	0.10991303009312708	0.03152081890248595	0.01111111111111111	0.01485415223581928	0.1963682902289172	0.956594326376579	0.5124476464390257	0.8490043672373415	0.5930364251439708	D1
chr10_101089533_101089567	0.11152789703132655	0.09485035938665516	0.1948586902289217	0.9217893217893218	0.05437229437229437	0	0	0.02383838383838384	0.216805344015136	0.9602793532074865	0.5263236560945732	0.9470779814615017	0.6860689330570556	D1
chr10_101089646_101089665	0.1425504454887885	0.17737532301580594	0.09621829384230232	0.9351933377357108	0.05279367525130236	0.00606060606060606	0.00595238095238094	0	0.2067992883634236	0.990228534264438	0.5695715659395836	0.9245802810208098	0.697252814522095	D1
chr10_101089669_101089679	0.0977300737562561	0.12542386830808602	0.08635707402334289	0.9639145232765316	0.02979616854736777	0.00628930817610062	0	0	0.2441352236372907	1	0.5952052572440905	0.9524382433332539	0.7284008518264444	D1
chr10_101089809_101089826	0.12874035013229987	0.08800773245238991	0.09946350796190924	0.9606575114440282	0.0215230961298377	0	0.00744902205576362	0.01037037037037037	0.27207320003047203	0.9678900039262792	0.556927357703278	0.9599058531915214	0.7150894785022829	D1
chr10_101090143_101090162	0.1622600126601609	0.20144751379760564	0.15425306495881233	0.8806650271755978	0.07276332316114086	0.02823414871607642	0.0040160642570281	0.01432143669015685	0.21666255515463836	0.9663182744221137	0.5332445675037965	0.8839603040530506	0.6314206725272142	D1
chr10_101090187_101090207	0.11777554863941946	0.1134480157672332	0.0950556537260201	0.8237713548658823	0.09466556108347152	0.03004159098686461	0.02128905735870909	0.03023243570507251	0.23407905456845793	0.9250948574343563	0.47465520577620446	0.8466298964227018	0.5677836663409138	D1
chr10_101190142_101190229	0.14103454675928914	0.05199235019127402	0.09746165575199152	0.9806387963990628	0.01936120360093722	0	0	0	0.26280868060478746	1	0.6019837076793543	0.9745657536420343	0.7518794574542962	D1
chr10_101190290_101190326	0.09746165575199152	0.09746165575199152	0	0.9937106918238994	0.00628930817610062	0	0	0	0.30066985931738316	1	0.6165383015501417	0.9892923987758053	0.7684490132259387	D1
chr10_101190528_101190597	0.08003755363586587	0.115927249003435	0.08413252384579514	0.5289025821596245	0.4664025821596244	0.00469483568075117	0	0	0.24887847659450119	1	0.5929373010431359	0.8040746490598265	0.6174396008293804	D1
chr10_101190777_101190817	0	0.08662079464369363	0.08662079464369363	0.9950248756218906	0.00497512437810945	0	0	0	0.3053774353473938	1	0.6185305997419459	0.9911197652202113	0.7705535430717452	D1
chr10_101190865_101190891	0.07874323205055259	0	0.07874323205055259	0.9958847736625516	0.00411522633744855	0	0	0	0.30862875159595216	1	0.6199326162084503	0.9923790708466808	0.7720112568574035	D1
chr10_101280220_101280268	0.15713893646304777	0.09590658958802316	0.11779316032011428	0.9405539993775288	0.04291160908807967	0.01058201058201057	0	0.00595238095238094	0.22829193475671947	0.9872423740560572	0.5702913076869364	0.9353260855609041	0.69757186853129	D1
chr10_101280269_101280310	0.1157098124475326	0.18741820601011197	0.2312263848205361	0.5489182141724515	0.3968838460363884	0.03198374384815063	0.01015422201862879	0.0120599739243807	0.26061731892473594	0.9619798540684412	0.5387921458527356	0.7553343347199845	0.5311157098768741	D1
chr10_101281859_101281892	0.10175656563622834	0.0948944291133822	0.02589955669830542	0.00584795321637426	0	0	0.13851436500856662	0.8556376817750592	0.9874299447097172	0.08745775104177284	0.5423281501752657	0.9041266601020567	0.6678036022959052	D2
chr10_101291046_101291101	0.22651433229974127	0.16244660154187393	0.11911157098880192	0.9490284489835304	0.02248786838679133	0.01083324896223549	0.00280112044817927	0.0148493132192636	0.2784248731005472	0.9673817369778321	0.5575624415165654	0.946070509918036	0.6956153250271014	D1
chr10_101291107_101291145	0.15625088916117397	0.2440801486785421	0.14415276489868273	0.5110625331213566	0.4278749337572867	0.04374227168344815	0.00555555555555555	0.01176470588235294	0.29018666796159087	0.9681008815057516	0.5570399418388519	0.7409590978561862	0.5271567698422738	D1
chr10_101295349_101295392	0.07823714546345564	0.11551577059895012	0.09025026181766786	0.9691938358921282	0.02542982002185037	0.0053763440860215	0	0	0.2528882325232327	1	0.5981428176585598	0.9577842832054769	0.7340613623630904	D1
chr10_101296718_101296739	0.15902717799361638	0.05233333466365255	0.19960280287653395	0.9423202614379084	0.05172735760971055	0.00595238095238094	0	0	0.2020100759791057	1	0.583046204584269	0.936449577992564	0.7114090812080781	D1
chr10_101300500_101300536	0.0154104890306497	0.17761223665469883	0.1691202329567718	0.970839946849543	0.0182310914018231	0	0	0.01092896174863388	0.2744117920443098	0.9788856252283891	0.5744078055585207	0.9756778247539211	0.7332324065183665	D1
chr10_101419082_101419126	0	0.12571361560472408	0.12571361560472408	0.9895833333333334	0.00520833333333333	0.00520833333333333	0	0	0.3081466330094827	1	0.6191932344456285	0.9801709460413891	0.7591708684381557	D1
chr10_101419129_101419156	0	0	0	1	0	0	0	0	0.32868152693085767	1	0.6291387780159147	1	0.7810163551494856	D1
chr10_101491955_101491970	0	0.08184706449108912	0.08184706449108912	0.9955555555555556	0.00444444444444444	0	0	0	0.30736572571425397	1	0.6193853991598739	0.9918901990502872	0.7714446126934981	D1
chr10_101491984_101492002	0.04432482836495811	0.08191466755948197	0.09461558476490876	0.9463292110056564	0.04922634454989934	0.00444444444444444	0	0	0.20475242928992285	1	0.583859840921931	0.9408178675754902	0.7158487380030168	D1
chr10_101492003_101492014	0.02307531645309307	0.03706736104849498	0.01405205585927864	0.9661740257759476	0.03382597422405246	0	0	0	0.2298752774146179	1	0.5912444226521099	0.9618796985372747	0.7380973642652513	D1
chr10_101492081_101492099	0	0	0	1	0	0	0	0	0.32868152693085767	1	0.6291387780159147	1	0.7810163551494856	D1
chr10_101492133_101492146	0	0	0	1	0	0	0	0	0.32868152693085767	1	0.6291387780159147	1	0.7810163551494856	D1
chr10_101769283_101769334	0.12014602293469452	0.12014602293469452	0	0.9904761904761904	0.00952380952380952	0	0	0	0.2900645277391047	1	0.6122054093949822	0.9851659806699349	0.7637393324034061	D1
chr10_101769916_101769934	0.0859780821861544	0	0.0859780821861544	0.9950980392156864	0.00490196078431372	0	0	0	0.30564827292131774	1	0.6186465642129279	0.9912247661368054	0.7706748491348125	D1
chr10_101769938_101769949	0.08354325349154712	0.07923607159808974	0.0051700822172201	0.9912037037037036	0.00879629629629629	0	0	0	0.2923501742876149	1	0.6131215611488374	0.9860559348620868	0.7647503447871313	D1
chr10_101769953_101769972	0	0	0	1	0	0	0	0	0.32868152693085767	1	0.6291387780159147	1	0.7810163551494856	D1
chr10_101945697_101945712	0	0	0	1	0	0	0	0	0.32868152693085767	1	0.6291387780159147	1	0.7810163551494856	D1
chr10_101945719_101945741	0	0	0	1	0	0	0	0	0.32868152693085767	1	0.6291387780159147	1	0.7810163551494856	D1
chr10_102046116_102046158	0	0	0	1	0	0	0	0	0.32868152693085767	1	0.6291387780159147	1	0.7810163551494856	D1
