Var1	Freq	id	strand
1101	2	chr10_294489_294523	*
1111	50	chr10_294489_294523	*
0111	3	chr10_319205_319245	*
1000	1	chr10_319205_319245	*
1011	3	chr10_319205_319245	*
1101	4	chr10_319205_319245	*
1111	39	chr10_319205_319245	*
0101	1	chr10_321851_321905	*
0111	5	chr10_321851_321905	*
1011	2	chr10_321851_321905	*
1101	8	chr10_321851_321905	*
1110	2	chr10_321851_321905	*
1111	55	chr10_321851_321905	*
0101	3	chr10_387333_387371	*
0111	2	chr10_387333_387371	*
1011	1	chr10_387333_387371	*
1101	2	chr10_387333_387371	*
1110	3	chr10_387333_387371	*
1111	83	chr10_387333_387371	*
0111	1	chr10_387403_387441	*
1011	2	chr10_387403_387441	*
1101	3	chr10_387403_387441	*
1110	2	chr10_387403_387441	*
1111	61	chr10_387403_387441	*
0111	1	chr10_387473_387511	*
1011	2	chr10_387473_387511	*
1100	1	chr10_387473_387511	*
1101	3	chr10_387473_387511	*
1110	4	chr10_387473_387511	*
1111	54	chr10_387473_387511	*
1011	2	chr10_393883_393891	*
1111	135	chr10_393883_393891	*
0011	1	chr10_393909_393934	*
0111	9	chr10_393909_393934	*
1011	1	chr10_393909_393934	*
1111	127	chr10_393909_393934	*
0111	5	chr10_418652_418700	*
1011	4	chr10_418652_418700	*
1101	2	chr10_418652_418700	*
1110	3	chr10_418652_418700	*
1111	54	chr10_418652_418700	*
0011	1	chr10_422330_422352	*
0111	2	chr10_422330_422352	*
1011	2	chr10_422330_422352	*
1101	2	chr10_422330_422352	*
1110	3	chr10_422330_422352	*
1111	62	chr10_422330_422352	*
1000	1	chr10_430938_431016	*
1001	1	chr10_430938_431016	*
1011	3	chr10_430938_431016	*
1100	2	chr10_430938_431016	*
1101	12	chr10_430938_431016	*
1110	1	chr10_430938_431016	*
1111	66	chr10_430938_431016	*
0110	1	chr10_466141_466184	*
1011	3	chr10_466141_466184	*
1110	15	chr10_466141_466184	*
1111	54	chr10_466141_466184	*
0111	2	chr10_466245_466270	*
1101	3	chr10_466245_466270	*
1110	2	chr10_466245_466270	*
1111	50	chr10_466245_466270	*
0011	1	chr10_468037_468058	*
0101	1	chr10_468037_468058	*
0111	3	chr10_468037_468058	*
1011	7	chr10_468037_468058	*
1100	1	chr10_468037_468058	*
1101	3	chr10_468037_468058	*
1110	2	chr10_468037_468058	*
1111	47	chr10_468037_468058	*
0001	1	chr10_504424_504479	*
0111	1	chr10_504424_504479	*
1011	2	chr10_504424_504479	*
1110	2	chr10_504424_504479	*
1111	44	chr10_504424_504479	*
0111	2	chr10_526414_526484	*
1011	3	chr10_526414_526484	*
1101	3	chr10_526414_526484	*
1111	61	chr10_526414_526484	*
0011	1	chr10_537384_537420	*
1010	1	chr10_537384_537420	*
1011	8	chr10_537384_537420	*
1110	2	chr10_537384_537420	*
1111	47	chr10_537384_537420	*
0000	2	chr10_552912_552973	*
0001	1	chr10_552912_552973	*
0011	1	chr10_552912_552973	*
0100	1	chr10_552912_552973	*
0111	5	chr10_552912_552973	*
1011	2	chr10_552912_552973	*
1100	1	chr10_552912_552973	*
1101	4	chr10_552912_552973	*
1110	1	chr10_552912_552973	*
1111	38	chr10_552912_552973	*
0011	3	chr10_555068_555136	*
