Var1	Freq	id	strand
1011	1	chr10_294489_294523	*
1111	50	chr10_294489_294523	*
0010	1	chr10_319205_319245	*
0111	1	chr10_319205_319245	*
1001	2	chr10_319205_319245	*
1100	1	chr10_319205_319245	*
1101	3	chr10_319205_319245	*
1110	1	chr10_319205_319245	*
1111	43	chr10_319205_319245	*
0111	3	chr10_321851_321905	*
1101	7	chr10_321851_321905	*
1110	5	chr10_321851_321905	*
1111	57	chr10_321851_321905	*
0111	1	chr10_353680_353715	*
1001	1	chr10_353680_353715	*
1011	2	chr10_353680_353715	*
1110	1	chr10_353680_353715	*
1111	56	chr10_353680_353715	*
0111	3	chr10_387333_387371	*
1011	1	chr10_387333_387371	*
1100	1	chr10_387333_387371	*
1110	4	chr10_387333_387371	*
1111	74	chr10_387333_387371	*
0101	1	chr10_387403_387441	*
0110	1	chr10_387403_387441	*
0111	25	chr10_387403_387441	*
1101	2	chr10_387403_387441	*
1110	1	chr10_387403_387441	*
1111	36	chr10_387403_387441	*
0111	4	chr10_387473_387511	*
1000	1	chr10_387473_387511	*
1011	1	chr10_387473_387511	*
1100	1	chr10_387473_387511	*
1101	2	chr10_387473_387511	*
1110	4	chr10_387473_387511	*
1111	69	chr10_387473_387511	*
1001	2	chr10_393367_393396	*
1010	1	chr10_393367_393396	*
1011	12	chr10_393367_393396	*
1111	37	chr10_393367_393396	*
1001	1	chr10_393759_393798	*
1101	1	chr10_393759_393798	*
1111	59	chr10_393759_393798	*
0111	1	chr10_393799_393818	*
1001	1	chr10_393799_393818	*
1101	25	chr10_393799_393818	*
1111	25	chr10_393799_393818	*
0111	2	chr10_393883_393891	*
1110	1	chr10_393883_393891	*
1111	129	chr10_393883_393891	*
0111	5	chr10_393909_393934	*
1101	1	chr10_393909_393934	*
1110	1	chr10_393909_393934	*
1111	125	chr10_393909_393934	*
0111	3	chr10_422330_422352	*
1011	1	chr10_422330_422352	*
1110	3	chr10_422330_422352	*
1111	71	chr10_422330_422352	*
0111	2	chr10_431996_432024	*
1100	1	chr10_431996_432024	*
1101	1	chr10_431996_432024	*
1110	14	chr10_431996_432024	*
1111	35	chr10_431996_432024	*
0101	1	chr10_466141_466184	*
0111	1	chr10_466141_466184	*
1011	1	chr10_466141_466184	*
1101	1	chr10_466141_466184	*
1110	6	chr10_466141_466184	*
1111	59	chr10_466141_466184	*
1011	1	chr10_466245_466270	*
1101	2	chr10_466245_466270	*
1110	2	chr10_466245_466270	*
1111	70	chr10_466245_466270	*
0011	1	chr10_468037_468058	*
0111	4	chr10_468037_468058	*
1011	1	chr10_468037_468058	*
1100	1	chr10_468037_468058	*
1110	3	chr10_468037_468058	*
1111	56	chr10_468037_468058	*
0111	1	chr10_504424_504479	*
1011	2	chr10_504424_504479	*
1101	4	chr10_504424_504479	*
1111	43	chr10_504424_504479	*
0111	2	chr10_535933_536003	*
1001	1	chr10_535933_536003	*
1011	3	chr10_535933_536003	*
1101	1	chr10_535933_536003	*
1111	49	chr10_535933_536003	*
0011	2	chr10_537384_537420	*
0111	1	chr10_537384_537420	*
1000	1	chr10_537384_537420	*
1011	6	chr10_537384_537420	*
